#_RAJ2000   _DEJ2000  Name     rh rm rs     dg dm ds       HV     mag    Simba   
151.3267   -7.6862  N3115-120  10 05 18.4  -07 41 10.2   912.08  17.64  Simbad
151.3267   -7.6993  N3115-121  10 05 18.4  -07 41 57.5   790.98  17.70  Simbad
151.3271   -7.7562  N3115-122  10 05 18.5  -07 45 22.3   574.68  17.79  Simbad
151.3275   -7.7045  N3115-123  10 05 18.6  -07 42 16.3   542.58  18.25  Simbad
151.3275   -7.6679  N3115-124  10 05 18.6  -07 40 04.3   669.88  19.83  Simbad
151.3283   -7.7080  N3115-125  10 05 18.8  -07 42 28.9   698.98  18.17  Simbad
151.3287   -7.6861  N3115-126  10 05 18.9  -07 41 10.1   929.28  18.89  Simbad
151.3292   -7.7350  N3115-127  10 05 19.0  -07 44 06.1   532.18  18.23  Simbad
151.3292   -7.7165  N3115-128  10 05 19.0  -07 42 59.4   996.08  99.99  Simbad
151.3300   -7.7007  N3115-129  10 05 19.2  -07 42 02.5   813.48  17.62  Simbad
151.3304   -7.6961  N3115-130  10 05 19.3  -07 41 45.9   755.88  18.21  Simbad
151.3312   -7.7075  N3115-131  10 05 19.5  -07 42 26.9   869.98  17.37  Simbad
151.3321   -7.7501  N3115-132  10 05 19.7  -07 45 00.2   719.08  18.89  Simbad
151.3329   -7.6927  N3115-133  10 05 19.9  -07 41 33.6   677.58  18.30  Simbad
151.3333   -7.6997  N3115-134  10 05 20.0  -07 41 59.0   784.18  19.46  Simbad
151.3333   -7.6854  N3115-135  10 05 20.0  -07 41 07.5   650.08  17.70  Simbad
151.3346   -7.7133  N3115-136  10 05 20.3  -07 42 48.0   920.08  18.33  Simbad
151.3358   -7.7081  N3115-137  10 05 20.6  -07 42 29.0   864.38  18.11  Simbad
151.3375   -7.6686  N3115-138  10 05 21.0  -07 40 07.0   778.88  17.91  Simbad
151.3383   -7.6777  N3115-139  10 05 21.2  -07 40 39.6   697.58  17.49  Simbad
151.3383   -7.7120  N3115-140  10 05 21.2  -07 42 43.2   572.58  17.68  Simbad
151.3388   -7.7181  N3115-141  10 05 21.3  -07 43 05.2   980.88  19.25  Simbad
151.3392   -7.7139  N3115-142  10 05 21.4  -07 42 50.2   978.48  18.21  Simbad
151.3396   -7.6985  N3115-143  10 05 21.5  -07 41 54.5   691.68  18.26  Simbad
151.3412   -7.6927  N3115-144  10 05 21.9  -07 41 33.9   803.58  18.48  Simbad
151.3425   -7.6748  N3115-145  10 05 22.2  -07 40 29.4   538.48  18.30  Simbad
151.3425   -7.7782  N3115-146  10 05 22.2  -07 46 41.5   779.68  18.20  Simbad
151.3425   -7.7712  N3115-147  10 05 22.2  -07 46 16.2   630.58  19.56  Simbad
151.3433   -7.6884  N3115-148  10 05 22.4  -07 41 18.4   427.68  19.06  Simbad
151.3462   -7.6711  N3115-149  10 05 23.1  -07 40 15.9   380.98  18.59  Simbad
151.3467   -7.6889  N3115-150  10 05 23.2  -07 41 20.0   798.58  18.13  Simbad
151.3479   -7.7131  N3115-151  10 05 23.5  -07 42 47.1   787.08  19.01  Simbad
151.3483   -7.6521  N3115-152  10 05 23.6  -07 39 07.7   796.48  18.88  Simbad
151.3487   -7.6731  N3115-153  10 05 23.7  -07 40 23.3   664.08  17.53  Simbad
151.3517   -7.6917  N3115-154  10 05 24.4  -07 41 30.3   731.48  18.04  Simbad
151.3517   -7.6943  N3115-155  10 05 24.4  -07 41 39.5   570.78  19.05  Simbad
151.3533   -7.7105  N3115-156  10 05 24.8  -07 42 37.7   733.78  18.42  Simbad
151.3537   -7.7175  N3115-157  10 05 24.9  -07 43 03.1   747.68  18.45  Simbad
151.3537   -7.7239  N3115-158  10 05 24.9  -07 43 26.2   641.88  19.02  Simbad
151.3542   -7.6564  N3115-159  10 05 25.0  -07 39 23.0   627.38  17.53  Simbad
151.3546   -7.6610  N3115-160  10 05 25.1  -07 39 39.6   842.48  18.21  Simbad
151.3562   -7.7051  N3115-161  10 05 25.5  -07 42 18.3   739.68  18.80  Simbad
151.3567   -7.6904  N3115-162  10 05 25.6  -07 41 25.5   646.98  18.48  Simbad
151.3575   -7.7152  N3115-163  10 05 25.8  -07 42 54.8   698.88  18.17  Simbad
151.3583   -7.7094  N3115-164  10 05 26.0  -07 42 33.8   770.88  18.88  Simbad
151.3583   -7.6980  N3115-165  10 05 26.0  -07 41 52.8   777.78  18.38  Simbad
