#_RAJ2000   _DEJ2000  Name     rh rm rs     dg dm ds       HV     mag    Simba   
040.12683  +39.06772       143  02 40 30.44  +39 04 03.8   661   17  s
040.12742  +39.09853       144  02 40 30.58  +39 05 54.7   450   13  s
040.12750  +39.06083       145  02 40 30.60  +39 03 39.0   855   13  s
040.12808  +39.05564       146  02 40 30.74  +39 03 20.3   812   13  s
040.12950  +39.07728       147  02 40 31.08  +39 04 38.2   868   13  s
040.13037  +39.05756       148  02 40 31.29  +39 03 27.2   809   13  s
040.13233  +39.05950       149  02 40 31.76  +39 03 34.2   766   14  s
040.13237  +39.06142       150  02 40 31.77  +39 03 41.1   874   13  s
040.13533  +39.06517       151  02 40 32.48  +39 03 54.6   772   14  s
040.13654  +39.06994       152  02 40 32.77  +39 04 11.8   856   13  s
040.13687  +39.08033       153  02 40 32.85  +39 04 49.2   745   13  s
040.13837  +39.06047       154  02 40 33.21  +39 03 37.7   776   13  s
040.13875  +39.05828       155  02 40 33.30  +39 03 29.8   780   13  s
040.13896  +39.06306       156  02 40 33.35  +39 03 47.0   823   16  s
040.13912  +39.05294       157  02 40 33.39  +39 03 10.6   786   14  s
040.14033  +39.07958       158  02 40 33.68  +39 04 46.5   728   13  s
040.14033  +39.05686       159  02 40 33.68  +39 03 24.7   765   15  s
040.14067  +39.05292       160  02 40 33.76  +39 03 10.5   810   14 c
040.14183  +39.07644       161  02 40 34.04  +39 04 35.2   618   13  s
040.14333  +39.04361       162  02 40 34.40  +39 02 37.0   755   14 c
040.14375  +39.06747       163  02 40 34.50  +39 04 02.9   813   13  s
040.14450  +39.06594       164  02 40 34.68  +39 03 57.4   832   17  s
040.14512  +39.06206       165  02 40 34.83  +39 03 43.4   812   13  s
040.14804  +39.05342       166  02 40 35.53  +39 03 12.3   745   13 c
040.14875  +39.06256       167  02 40 35.70  +39 03 45.2   753   13  s
040.14892  +39.05731       168  02 40 35.74  +39 03 26.3   830   13 c
040.14900  +39.05911       169  02 40 35.76  +39 03 32.8   777   14 c
040.15317  +39.05406       170  02 40 36.76  +39 03 14.6   723   13 c
040.15346  +39.06303       171  02 40 36.83  +39 03 46.9   767   13 c
040.15358  +39.04786       172  02 40 36.86  +39 02 52.3   741   13 c
040.15446  +39.05100       173  02 40 37.07  +39 03 03.6   771   14 c
040.15600  +39.05658       174  02 40 37.44  +39 03 23.7   732   13 c
040.15646  +39.06200       175  02 40 37.55  +39 03 43.2   722   13 c
040.15746  +39.06161       176  02 40 37.79  +39 03 41.8   828   13 c
040.15779  +39.04044       177  02 40 37.87  +39 02 25.6   750   13 c
040.15837  +39.05042       178  02 40 38.01  +39 03 01.5   744   13 c
040.15887  +39.05986       179  02 40 38.13  +39 03 35.5   808   13 c
040.15900  +39.07061       180  02 40 38.16  +39 04 14.2   748   13  s
040.16162  +39.05967       181  02 40 38.79  +39 03 34.8   848   13 c
040.16421  +39.08047       182  02 40 39.41  +39 04 49.7   750   13  s
040.16629  +39.07003       183  02 40 39.91  +39 04 12.1   822   13 c
040.16683  +39.06275       184  02 40 40.04  +39 03 45.9   736   13 c
040.16767  +39.09139       185  02 40 40.24  +39 05 29.0   716   13  s
040.16883  +39.11703       186  02 40 40.52  +39 07 01.3   664   13  s
040.16962  +39.06400       187  02 40 40.71  +39 03 50.4   781   13 c
040.16975  +39.09753       188  02 40 40.74  +39 05 51.1   769   13  s
040.16992  +39.07733       189  02 40 40.78  +39 04 38.4   787   13  s
040.17021  +39.10933       190  02 40 40.85  +39 06 33.6   700   35  s
040.17121  +39.07253       191  02 40 41.09  +39 04 21.1   419   13 a
040.17254  +39.08808       192  02 40 41.41  +39 05 17.1   717   14  s
040.17362  +39.13806       193  02 40 41.67  +39 08 17.0   610   13  s
040.17454  +39.02453       194  02 40 41.89  +39 01 28.3   757   13  s
040.17667  +39.06208       195  02 40 42.40  +39 03 43.5   748   13 c
040.17725  +39.07369       196  02 40 42.54  +39 04 25.3   813   16  s
040.17946  +39.04389       197  02 40 43.07  +39 02 38.0   741   13  s
040.17954  +39.06800       198  02 40 43.09  +39 04 04.8   658   13  s
040.18500  +39.06208       199  02 40 44.40  +39 03 43.5   785   13  s
040.18637  +39.03528       200  02 40 44.73  +39 02 07.0  1703   13 b
040.18654  +39.06878       201  02 40 44.77  +39 04 07.6   545   13  s
040.19333  +39.01761       202  02 40 46.40  +39 01 03.4   452   13  s
040.19879  +39.10142       203  02 40 47.71  +39 06 05.1   804   13  s
040.20408  +39.06633       204  02 40 48.98  +39 03 58.8   734   13  s
